Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-05-04,Tripping with Nils Frahm,2020,https://boxd.it/9B1nVB,,,"germany 🇩🇪, mubi",2025-05-02
2025-05-04,Star Wars,1977,https://boxd.it/9B1odP,4.5,Yes,,2025-05-03
2025-05-05,The Empire Strikes Back,1980,https://boxd.it/9BON4L,5,Yes,,2025-05-04
2025-05-07,Lux Æterna,2019,https://boxd.it/9CWFs1,3,,"france 🇫🇷, mubi",2025-05-06
2025-05-07,Return of the Jedi,1983,https://boxd.it/9CWFHl,4.5,Yes,,2025-05-06
2025-05-09,Solaris,1972,https://boxd.it/9DYzxH,3.5,,"⭐ sculpting in time, ussr ☭",2025-05-08
2025-05-11,The Killers,1956,https://boxd.it/9ENHrz,,,"⭐ sculpting in time, ussr ☭",2025-05-09
2025-05-11,There Will Be No Leave Today,1959,https://boxd.it/9ENSu5,,,"⭐ sculpting in time, ussr ☭",2025-05-09
2025-05-11,The Steamroller and the Violin,1961,https://boxd.it/9EO4aV,,,"⭐ sculpting in time, ussr ☭",2025-05-09
2025-05-11,Ivan's Childhood,1962,https://boxd.it/9EOzKv,5,,"⭐ sculpting in time, ussr ☭, kanopy",2025-05-10
2025-05-11,Sinners,2025,https://boxd.it/9F9HeT,4,Yes,watched in theater,2025-05-10
2025-05-13,Andrei Rublev,1966,https://boxd.it/9Gksp9,,,"⭐ sculpting in time, ussr ☭",2025-05-12
2025-05-14,Mirror,1975,https://boxd.it/9GHqd7,,,"⭐ sculpting in time, wtf cinema❓, ussr ☭, misc. screening, kanopy",2025-05-13
2025-05-16,The Seventh Seal,1957,https://boxd.it/9HQdr3,4,,"sweden 🇸🇪, kanopy",2025-05-15
2025-05-18,High Noon,1952,https://boxd.it/9IKaaF,3.5,,,2025-05-17
2025-05-18,The Golem: How He Came Into the World,1920,https://boxd.it/9IZWLf,4,,"watched at work, germany 🇩🇪",2025-05-17
